Name,Video Link,Category,Intensity,Format,Initiation,Skills,Feedback,Objective,Winning Criteria,Verbal Cues,Min Ppl,Max Ppl,Round Type,Min Rounds,Max Rounds,Min Minutes per Round,Max Minutes per Round,Equipment,Framework,AI keywords,Client,Creation Date,Date,Document Type,Keywords
Error Correct,,Live Gameplay,high,Continuous,Coach Input,,,Target Weakness,Development,,4,8,Time,2,6,1,3,,"Game-Like Training, Immediate Feedback",,,,,,
Milo’s Car Wash,,Live Gameplay,moderate,Wash,Coach Input,,,Situational,Points,,6,10,"Points, Time",1,3,2,10,,Game-Like Training,,,,,,
Live Games + Variations,,Live Gameplay,moderate,Continuous,Player Serve,,,Situational,Points,,4,4,,1,4,15,30,,Competition,,,,,,
Colorado Drill,,Live Gameplay,moderate,Continuous,Player Serve,,,Pressure Sideout,Points,,6,10,Points,3,9,,,,,,,,,,
Bingo Bango Bongo (USA),,Live Gameplay,high,"Continuous, Wash",Coach Input,,,,Points,,4,10,Points,1,3,3,10,,Game-Like Training,,,,,,
Sideout Ladder,,Live Gameplay,high,"Continuous, Rotate",Player Serve,Sideout,,Pressure Sideout,Points,,4,8,Points,4,16,1,3,,"Competition, Game-Like Training",,,,,,
Around the World,,Live Gameplay,moderate,Continuous,Player Serve,,,,,,4,4,Points,1,4,3,8,,Game-Like Training,,,,,,
