Name,Category,Equipment,Format,Framework,Intensity,Max Minutes per Round,Max Ppl,Max Rounds,Min Minutes per Round,Min Ppl,Min Rounds,Round Type,Video Link
SL Glute Bridge,,,Sets x Reps,,Low,2,,4,1,1,2,,
Scapular Pull Ups,,Pull Up Bar,Sets x Reps,Apiros,Low,2,,4,1,1,2,,
Juggling,Physical,Tennis Balls,"Continuous, Partner Drill",,Low,3,6,3,1,1,1,Time,
Brok String,,String,,Visual Focus,Low,2,3,3,1,1,1,,
Stick Drop w Line Touch,Physical,Sticks,"Continuous, Partner Drill",No Zombies,moderate,2,8,3,1,2,1,,https://www.instagram.com/reel/DDXL3pRPB9P/?igsh=anFzOWVta3J4Y2gx
Hip Internal Rotation,,,,Apiros,,,,,,,,,
